,year,score_mean
0,1990,84.0
1,1991,85.25
2,1992,81.9
3,1993,82.6
4,1994,85.91666666666667
5,1995,83.5
6,1996,82.5
7,1997,83.83333333333333
8,1998,84.25
9,1999,82.85714285714286
10,2000,84.3
11,2001,83.83333333333333
12,2002,84.375
13,2003,84.625
14,2004,83.5
15,2005,81.66666666666667
16,2006,82.4375
17,2007,84.5625
18,2008,84.9
19,2009,83.25
20,2010,84.1
21,2011,82.83333333333333
22,2012,83.125
23,2013,84.5625
24,2014,83.61111111111111
25,2015,84.35714285714286
26,2016,83.625
27,2017,83.31818181818181
28,2018,82.9375
29,2019,83.8
30,2020,84.3125
31,2021,82.5
